Plant_ID Year Electricity SO2 NOx Capital Employees Coal_hc Oil_hc Gas_hc CAA
1357 85 2851.09589041096 57.7382465753425 15.9271232876712 398713780.4804 103 9856.60803338356 9.3345923769863 0 0
1364 85 16962.1534246575 130.929753424658 68.9537534246575 1838223813.3336 472 50736.1778800088 147.775230476712 136.372359773973 0
1570 85 1115.60273972603 8.95608219178082 4.012 323759544.0156 65 3602.77319079178 28.0543619884931 0 0
1606 85 2842.11506849315 26.8045753424658 11.4767397260274 209323396.8364 69 8483.14998201205 12.0627214242279 0 0
1695 85 3258.47671232877 22.6825205479452 10.8117808219178 830015104.8112 196 9994.60577295288 39.8440061178082 0 0
1745 85 9846.39452054794 59.9139726027397 29.7809315068493 1973441725.332 327 29752.6835425315 231.208430905154 0 0
1943 85 989.940547945205 11.6388493150685 5.18419178082192 242040539.4792 38 3559.04458878904 4.21877711835616 0 0
2080 85 5562.74345205479 241.63602739726 23.1507945205479 573750895.256 157 17548.5037321315 46.7552803097589 0 0
2103 85 33940.7780821918 718.440082191781 113.697917808219 2951667022.458 504 99784.9563599485 274.894977460274 0 0
2107 85 6353.97260273973 150.523534246575 53.5938082191781 1109681580.3304 275 19982.7482463945 54.5169871265753 0 0
2526 85 2364.82657534247 40.87 9.55624657534247 439725686.8928 79 7836.35754076274 26.6278690060274 0 0
2527 85 3106.33987671233 54.6552876712329 12.8321917808219 435318765.6048 97 10073.3524250778 45.4420636849315 0 0
2535 85 4747.64136986301 66.3059452054794 14.4161917808219 489722212.7644 85 13164.1763461216 13.0708843795332 0 0
2549 85 11160.6136986301 133.916164383562 52.4561643835616 1954016665.3084 304 34673.6910548444 0 0 0
2554 85 9136.04109589041 139.758273972603 28.0109589041096 1106038027.7408 210 27605.030991246 0 0 0
2642 85 3913.87945205479 66.2106301369863 11.7336438356164 493733297.3188 134 11898.3180678521 37.2304551452055 0 0
2706 85 5814.04931506849 38.0304657534247 23.4774794520548 398492684.6208 105 16562.5205506931 33.4291042712219 0 0
2718 85 6240.85479452055 41.2151232876712 18.1642465753425 1059456830.0316 152 17648.3185759523 132.234597757575 0 0
2721 85 5753.07671232877 39.636904109589 16.5001369863014 855078255.3544 146 16400.5987428997 69.9477866307107 0 0
2727 85 25119.4383561644 160.771287671233 68.1642739726027 1623444052.076 189 66449.0151040751 182.946915643512 0 0
2790 85 1230.63808219178 14.2532876712329 3.39498630136986 189262901.9204 57 4747.78119326192 0 0 0
2850 85 40648.9671232877 458.89104109589 189.86002739726 2603776769.902 537 116424.286243016 70.4517467047052 0 0
2864 85 7181.10438356164 194.758739726027 36.7962191780822 1129800763.2604 289 23299.9834057008 16.7365261977238 0 0
2872 85 19996.5643835616 679.609616438356 116.656931506849 2010633133.0008 382 55872.4633049079 210.51629025191 0 0
2876 85 21710.0547945205 592.725534246575 135.874657534247 1622879478.3432 338 62042.9937194175 18.3454416657534 0 0
3098 85 3917.80273972603 8.17068493150685 21.8697534246575 1207474170.6104 228 13558.5182309052 127.547506028167 0 0
3130 85 3227.21369863014 43.0954246575342 12.5628493150685 582220863.0084 106 10716.5488450104 120.264581515588 0 0
